Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
2048,The Garage Brewery,GARAGE Silver Peel 0.44,630.0,Pieces,???,0.44,5.2
3286,The Garage Brewery,GARAGE Sixbar 0.75,3800.0,Pieces,???,0.75,6.0
3829,The Garage Brewery,Garage Slayer 0.44,650.0,Pieces,???,0.44,6.6
2028,The Garage Brewery,Garage Soup Barrel20,1120.0,Liters,???,1.0,6.0
2051,The Garage Brewery,GARAGE Soup IPA 0.44,630.0,Pieces,???,0.44,6.0
2877,The Garage Brewery,GARAGE Triangles 0.44,570.0,Pieces,???,0.44,4.8
2878,The Garage Brewery,GARAGE Triangles Barrel 20L,1120.0,Liters,???,1.0,5.2
3830,The Garage Brewery,Garage Trinkets 0.44,620.0,Pieces,???,0.44,4.2
3287,The Garage Brewery,GARAGE Woozy 0.44,700.0,Pieces,???,0.44,8.5
4531,The Garage Brewery,Garage Woozy Barrel20,1280.0,Liters,???,1.0,8.5
3968,The Garage Brewery,Garage x Flying Inn - Fluoro 0.44,550.0,Pieces,???,0.44,8.0
3719,The Garage Brewery,GARAGE x Magic Rock - Crimson Shards 0.44,650.0,Pieces,???,0.44,6.5
2049,The Garage Brewery,GARAGE Vajrled Pias,620.0,Pieces,???,0.44,9.0
2050,The Garage Brewery,GARAGE Montessori,570.0,Pieces,???,0.44,6.9
4404,The Garage Brewery,GARAGE old,,,,,
4338,The Garage Brewery,Garage Passata Stix Barrel,1480.0,Liters,USA,1.0,9.0
1360,Zagovor,German Movies Fuerst Wiacek & Zagovor,1000.0,Liters,Russia,,
8,,Germany,,,,,
1727,Huyghe,GIFT Delirium Christmas COUNT 4 PIECES,600.0,Pieces,Belgium,0.33,10.0
1062,,Ginger Beer non alcoholic,200.0,Pieces,???,,
988,,Goat cheese with white mold in ash,,Pieces,,,
4397,,Golubchik,,,,,
4033,Golubchik,Golubchik A kiss in the cold Barrel20,600.0,Liters,Russia,1.0,6.5
4398,Golubchik,Golubchik Barrel,680.0,Liters,Russia,1.0,4.7
4032,Golubchik,Golubchik Ptolemy Barrel20,600.0,Liters,Russia,1.0,6.5
2495,XP Brew,Golubchik XP G'See Vibe,640.0,Liters,Russia,1.0,8.3
4399,Golubchik,Golubchik Brillianty 0.5,350.0,Pieces,Russia,0.5,8.5
4783,Golubchik,Golubchik Lesnoj Tsar' 0.5,380.0,Pieces,Russia,0.5,8.2
4400,Golubchik,Golubchik L'dina Divnaja,330.0,Pieces,Russia,0.5,4.5
4782,Golubchik,Golubchik Potseluj na moRose 0.5,330.0,Pieces,Russia,0.5,6.5
4030,Golubchik,Golubchik Ptolemej 0.5,330.0,Pieces,Russia,0.5,6.0
4781,Golubchik,Golubchik Solntsestojanie Barrel,600.0,Liters,Russia,1.0,4.5
3235,Golubchik,Golubchik Tsvety Zhizni Can 0.5,300.0,Pieces,Russia,0.5,6.9
3072,Goose Island,Goose Island IPA 0.355,330.0,Pieces,USA,0.355,5.9
3074,Goose Island,Goose Island Urban Wheat Ale 0.355,330.0,Pieces,USA,0.355,4.2
3796,,Goose Sour Milk Ale,600.0,Liters,Russia,1.0,6.5
2190,Het Anker,Gouden Carolus Classic / Collector's Edition 2017 / 3.0l,5500.0,Pieces,Belgium,3.0,8.5
2191,Het Anker,Gouden Carolus Cuvée van de Keizer Imperial Dark / 3.0l,4500.0,Pieces,Belgium,3.0,11.0
2194,Het Anker,Gouden Carolus Cuvée Van De Keizer Whisky Infused / 0.75l,1350.0,Pieces,Belgium,0.75,11.7
2193,Het Anker,Gouden Carolus Indulgence 20- Botanik / 0.75l,1500.0,Pieces,Belgium,0.75,8.5
3280,Gravity Project,Gravity project Blade Runner Cider Barrel,600.0,Liters,Russia,1.0,6.0
3276,Gravity Project,Gravity project Hop Runner: Mosaic-Pineapple Cider Barrel,600.0,Liters,Russia,1.0,4.8
3281,Gravity Project,Gravity Project The Force Cider Barrel,600.0,Liters,Russia,1.0,5.0
3964,Green Street,Green Street Stanley Knife 0.5,330.0,Pieces,Russia,0.5,6.5
591,Snacks,Grissini portion,150.0,Pieces,,,
2044,Cervesa Guineu,Guineu Cervesa,,,,,
2046,Cervesa Guineu,Guineu Cervesa Aging Fine / IMP Saison / 11%,620.0,Pieces,Spain,0.33,11.0
2045,Cervesa Guineu,Guineu Ejdzhin Fajn Oloroso,620.0,Pieces,Spain,0.33,11.0
1443,Van Steenberge Brouwerij N.V.,Gulden Draak / 0.33,370.0,Pieces,Belgium,0.33,10.5
1444,Van Steenberge Brouwerij N.V.,Gulden Draak 9000 Quadruple / 0.33,370.0,Pieces,Belgium,0.33,10.5
2012,Van Steenberge Brouwerij N.V.,Gulden Draak Calvados 0.75,1600.0,Pieces,Belgium,0.75,10.5
3598,Van Steenberge Brouwerij N.V.,Gulden Draak Imperial Stout 0.33,550.0,Pieces,Belgium,0.33,12.0
3536,,GUSI,,,,,
4382,Ostrovica,GUSI Barrel  Ostrovica Pumpkin Master Barrel,600.0,Liters,Russia,1.0,8.4
3537,Ostrovica,GUSI Dark Island 0.5,280.0,Pieces,Russia,0.5,5.9
3538,Ostrovica,GUSI Double Top 0.33,300.0,Pieces,Russia,0.33,8.0
3534,Ostrovica,GUSI Double Top NEDIPA Barrel30,680.0,Liters,Russia,1.0,8.0
3535,Ostrovica,GUSI Mad River Mango Blueberry BW Barrel30,560.0,Liters,Russia,1.0,3.9
3539,Ostrovica,GUSI Salt Lake 0.5,300.0,Pieces,Russia,0.5,5.2
3798,Ostrovica,GUSI Sidranada Lime Ginger Sour IPA 6.7% 0.5,300.0,Pieces,Russia,0.5,3.0
59,,Haand,,,,,
182,Haand,"Haand Dark Force / imperial stout / 9% / 0,5 / but",480.0,Pieces,Norway,0.5,9.0
1531,Nomada,Nomada Brew Hanami,330.0,Pieces,Spain,0.33,5.8
4558,Hanssens,Hannsens V.S.O.R 0.375,1350.0,Pieces,Belgium,0.375,6.5
33,,Hanssens,,,,,
2908,Hanssens,Hanssens Cassis 0.375,1300.0,Pieces,Belgium,0.375,6.0
